Time,Temperature,On Time
17515,42,20,129.24
17543,42,21,129.24
17569,42,18,145.03
17597,42,18,145.03
17624,42,18,145.03
17651,42,20,145.03
17678,42,20,135.8
17704,42,21,135.8
17732,42,21,135.8
17759,42,20,135.8
17786,42,18,146.59
17813,42,18,146.59
17840,42,20,146.59
17867,42,20,146.59
17894,42,21,132.34
17922,42,20,132.34
17948,42,20,132.34
17975,42,18,132.34
18002,42,18,148.13
18029,43,20,148.13
18057,43,21,148.13
18083,43,21,148.13
18111,43,21,133.89
18138,43,21,133.89
18164,43,18,133.89
18192,43,18,133.89
18219,43,18,149.69
18245,43,20,149.69
18273,43,21,149.69
18299,43,20,149.69
18327,43,21,135.45
18354,43,21,135.45
18380,43,18,135.45
18408,43,18,135.45
18435,43,20,141.23
18462,43,20,141.23
18489,43,21,141.23
18516,43,21,141.23
18543,43,21,136.99
18570,43,18,136.99
18597,43,18,136.99
18624,43,18,136.99
18652,43,21,137.76
18678,43,21,137.76
18705,43,21,137.76
18733,43,21,137.76
18759,43,20,143.54
18787,43,18,143.54
18813,43,18,143.54
18840,43,21,143.54
18868,43,21,139.31
18894,43,21,139.31
18922,43,21,139.31
18949,43,21,139.31
18976,43,18,155.11
19003,43,18,155.11
19030,44,20,155.11
19057,44,21,155.11
19084,44,22,135.87
19110,44,20,135.87
19138,44,21,135.87
19165,44,18,135.87
19192,44,18,156.67
19219,44,18,156.67
19246,44,21,156.67
19273,44,22,156.67
19300,44,21,142.45
19328,44,21,142.45
19354,44,22,142.45
19382,44,18,142.45
19408,44,18,158.25
19435,44,22,158.25
19463,44,21,158.25
19489,44,20,158.25
19517,44,21,144.02
19544,44,21,144.02
19570,44,21,144.02
19598,44,18,144.02
19624,44,18,159.84
19652,44,21,159.84
19679,44,21,159.84
19705,44,21,159.84
19733,44,21,145.61
19760,44,21,145.61
19787,44,18,145.61
19814,44,18,145.61
19841,44,21,146.39
19868,44,21,146.39
19895,44,21,146.39
19922,44,21,146.39
19949,44,21,147.17
19976,44,18,147.17
20003,44,18,147.17
20030,45,21,147.17
20058,45,21,147.95
20084,45,22,147.95
20111,45,21,147.95
20139,45,21,147.95
20165,45,21,148.74
20193,45,18,148.74
20219,45,18,148.74
20247,45,21,148.74
20274,45,21,149.52
20300,45,21,149.52
20328,45,21,149.52
20355,45,21,149.52
20382,45,19,160.32
20409,45,19,160.32
20435,45,21,160.32
20463,45,21,160.32
20490,45,21,151.11
20517,45,21,151.11
20544,45,21,151.11
20571,45,21,151.11
20598,45,19,161.91
20625,45,19,161.91
20653,45,22,161.91
20679,45,21,161.91
20707,45,21,152.7
20733,45,22,152.7
20760,45,21,152.7
20788,45,19,152.7
20814,45,19,163.51
20841,45,21,163.51
20869,45,21,163.51
20895,45,23,163.51
20923,45,21,154.3
20950,45,21,154.3
20976,45,22,154.3
21004,45,19,154.3
21030,46,21,155.09
21058,46,21,155.09
21085,46,22,155.09
21112,46,21,155.09
21139,46,21,155.88
21166,46,22,155.88
21193,46,19,155.88
21220,46,19,155.88
21248,46,23,146.65
21274,46,21,146.65
21301,46,21,146.65
21328,46,21,146.65
21355,46,22,152.44
21383,46,20,152.44
21409,46,19,152.44
21436,46,22,152.44
21464,46,21,158.23
21490,46,21,158.23
21518,46,21,158.23
21544,46,21,158.23
21572,46,21,159.03
21599,46,19,159.03
21625,46,20,159.03
21653,46,21,159.03
21680,46,22,154.82
21706,46,22,154.82
21734,46,21,154.82
21761,46,22,154.82
21788,46,19,170.64
21815,46,20,170.64
21841,46,21,170.64
21869,46,21,170.64
21896,46,22,156.43
21923,46,21,156.43
21950,46,21,156.43
21978,46,22,156.43
22004,46,19,172.25
22031,47,22,172.25
22059,47,21,172.25
22085,47,21,172.25
22113,47,22,158.04
22139,47,21,158.04
22166,47,22,158.04
22194,47,20,158.04
22220,47,20,168.85
22248,47,23,168.85
22275,47,22,168.85
22301,47,21,168.85
22329,47,21,164.65
22355,47,22,164.65
22383,47,22,164.65
22410,47,20,164.65
22437,47,23,155.44
22464,47,22,155.44
22491,47,22,155.44
22518,47,23,155.44
22545,47,22,161.24
22572,47,22,161.24
22599,47,19,161.24
22626,47,20,161.24
22653,47,21,167.04
22680,47,21,167.04
22707,47,24,167.04
22734,47,21,167.04
22761,47,22,162.84
22789,47,23,162.84
22815,47,20,162.84
22843,47,21,162.84
22870,47,21,168.65
22896,47,23,168.65
22924,47,21,168.65
22950,47,22,168.65
22978,47,24,154.43
23005,47,20,154.43
23031,48,22,154.43
23059,48,24,154.43
23086,48,22,165.23
23113,48,22,165.23
