Time,Set Temperature,Measured Temperature,On Time
997633,0,31,0.0
997657,0,31,0.0
997683,0,31,0.0
997707,0,31,0.0
997732,0,31,0.0
997757,0,31,0.0
997782,0,31,0.0
997807,0,31,0.0
997832,0,31,0.0
997857,0,31,0.0
997882,0,31,0.0
997907,0,31,0.0
997932,0,31,0.0
997957,0,31,0.0
997982,0,31,0.0
998006,0,31,0.0
998032,0,31,0.0
998056,0,31,0.0
998082,0,31,0.0
998107,0,31,0.0
998131,0,31,0.0
998157,0,31,0.0
998181,0,31,0.0
998206,0,31,0.0
998232,0,31,0.0
998256,0,31,0.0
998282,0,31,0.0
998306,0,31,0.0
998331,0,31,0.0
998356,0,31,0.0
998381,0,31,0.0
998406,0,31,0.0
998431,0,31,0.0
998456,0,31,0.0
998481,0,31,0.0
998506,0,31,0.0
998531,0,31,0.0
998556,0,31,0.0
998581,0,31,0.0
998605,0,31,0.0
998631,0,31,0.0
998656,0,31,0.0
998681,0,31,0.0
998706,0,31,0.0
998730,0,31,0.0
998756,0,31,0.0
998780,0,31,0.0
998805,0,31,0.0
998831,0,31,0.0
998855,0,31,0.0
998881,0,31,0.0
998905,0,31,0.0
998930,0,31,0.0
998956,0,31,0.0
998980,0,31,0.0
999005,0,31,0.0
999030,0,31,0.0
999055,0,31,0.0
999080,0,31,0.0
999105,0,31,0.0
999130,0,31,0.0
999155,0,31,0.0
999180,0,31,0.0
999204,0,31,0.0
999230,0,31,0.0
999255,0,31,0.0
999280,0,31,0.0
999305,0,31,0.0
999329,0,31,0.0
999355,0,31,0.0
999379,0,31,0.0
999404,0,31,0.0
999430,0,31,0.0
999454,0,31,0.0
999480,0,31,0.0
999504,0,31,0.0
999529,0,31,0.0
999555,0,31,0.0
999579,0,31,0.0
999604,0,31,0.0
999629,0,31,0.0
999654,0,31,0.0
999680,0,31,0.0
999704,0,31,0.0
999729,0,31,0.0
999754,0,31,0.0
999779,0,31,0.0
999803,0,31,0.0
999829,0,31,0.0
999854,0,31,0.0
999879,0,31,0.0
999904,0,31,0.0
999928,0,31,0.0
999954,0,31,0.0
999979,0,31,0.0
1000003,0,31,0.0
1000030,0,31,0.0
1000055,0,31,0.0
1000082,0,31,0.0
1000108,0,31,0.0
1000133,0,31,0.0
1000160,0,31,0.0
1000185,0,31,0.0
1000212,0,31,0.0
1000238,0,31,0.0
1000263,0,31,0.0
1000290,0,31,0.0
1000315,0,31,0.0
1000341,0,31,0.0
1000368,0,31,0.0
1000393,0,31,0.0
1000420,0,31,0.0
1000445,0,31,0.0
1000472,0,31,0.0
1000498,0,31,0.0
1000523,0,31,0.0
1000550,0,31,0.0
1000576,0,31,0.0
1000601,0,31,0.0
1000628,0,31,0.0
1000653,0,31,0.0
1000680,0,31,0.0
1000706,0,31,0.0
1000731,0,31,0.0
1000758,0,31,0.0
1000783,0,31,0.0
1000810,0,31,0.0
1000836,0,31,0.0
1000861,0,31,0.0
1000888,0,31,0.0
1000913,0,31,0.0
1000939,0,31,0.0
1000966,0,31,0.0
1000991,0,31,0.0
1001018,0,31,0.0
1001043,0,31,0.0
1001069,0,31,0.0
1001096,0,31,0.0
1001121,0,31,0.0
1001148,0,31,0.0
1001174,0,31,0.0
1001199,0,31,0.0
1001226,0,31,0.0
1001251,0,31,0.0
1001278,0,31,0.0
1001304,0,31,0.0
1001329,0,31,0.0
1001356,0,31,0.0
1001381,0,31,0.0
1001408,0,31,0.0
1001434,0,31,0.0
1001459,0,31,0.0
1001486,0,31,0.0
1001511,0,31,0.0
1001537,0,31,0.0
1001564,0,31,0.0
1001589,0,31,0.0
1001616,0,31,0.0
1001641,0,31,0.0
1001667,0,31,0.0
1001694,0,31,0.0
1001719,0,31,0.0
1001746,0,31,0.0
1001772,0,31,0.0
1001797,0,31,0.0
1001824,0,31,0.0
1001849,0,31,0.0
1001876,0,31,0.0
1001902,0,31,0.0
1001927,0,31,0.0
1001954,0,31,0.0
1001979,0,31,0.0
1002005,0,31,0.0
1002032,0,31,0.0
1002057,0,31,0.0
1002084,0,31,0.0
1002109,0,31,0.0
1002136,0,31,0.0
1002162,0,31,0.0
1002187,0,31,0.0
1002214,0,31,0.0
1002240,0,31,0.0
1002265,0,31,0.0
1002292,0,31,0.0
1002317,0,31,0.0
1002344,0,31,0.0
1002370,0,31,0.0
1002395,0,31,0.0
1002422,0,31,0.0
1002447,0,31,0.0
1002474,0,31,0.0
1002500,0,31,0.0
1002525,0,31,0.0
1002552,0,31,0.0
1002577,0,31,0.0
1002603,0,31,0.0
1002630,0,31,0.0
1002655,0,31,0.0
1002682,0,31,0.0
1002707,0,31,0.0
1002733,0,31,0.0
1002760,0,31,0.0
1002785,0,31,0.0
1002812,0,31,0.0
1002838,0,31,0.0
1002863,0,31,0.0
1002890,0,31,0.0
1002915,0,31,0.0
1002942,0,31,0.0
1002968,0,31,0.0
1002993,0,31,0.0
1003020,0,31,0.0
1003045,0,31,0.0
1003072,0,31,0.0
1003098,0,31,0.0
1003123,0,30,0.0
1003150,0,31,0.0
1003175,0,31,0.0
1003201,0,31,0.0
1003228,0,31,0.0
1003253,0,31,0.0
1003280,0,31,0.0
1003305,0,31,0.0
1003331,0,31,0.0
1003358,0,31,0.0
1003383,0,31,0.0
1003410,0,31,0.0
1003436,0,31,0.0
1003461,0,31,0.0
1003488,0,31,0.0
1003513,0,30,0.0
1003540,0,31,0.0
1003566,0,31,0.0
1003591,0,31,0.0
1003618,0,31,0.0
1003643,0,30,0.0
1003669,0,31,0.0
1003696,0,31,0.0
1003721,0,31,0.0
1003748,0,31,0.0
1003773,0,31,0.0
1003800,0,30,0.0
1003826,0,31,0.0
1003851,0,31,0.0
1003878,0,30,0.0
1003904,0,30,0.0
1003929,0,30,0.0
1003956,0,31,0.0
1003981,0,31,0.0
1004008,0,31,0.0
1004034,0,31,0.0
1004059,0,31,0.0
1004086,0,30,0.0
1004111,0,31,0.0
1004138,0,31,0.0
1004164,0,31,0.0
1004189,0,31,0.0
1004216,0,31,0.0
1004241,0,30,0.0
1004267,0,31,0.0
1004294,0,31,0.0
1004319,0,30,0.0
1004346,0,31,0.0
1004371,0,31,0.0
1004397,0,31,0.0
1004424,0,30,0.0
1004449,0,31,0.0
1004476,0,31,0.0
1004502,0,31,0.0
1004527,0,31,0.0
1004554,0,31,0.0
1004579,0,31,0.0
1004606,0,31,0.0
1004632,0,31,0.0
1004657,0,31,0.0
1004684,0,31,0.0
1004709,0,30,0.0
1004736,0,31,0.0
1004762,0,30,0.0
1004787,0,31,0.0
1004814,0,31,0.0
1004839,0,30,0.0
1004865,0,30,0.0
1004892,0,30,0.0
1004917,0,31,0.0
1004944,0,30,0.0
1004969,0,31,0.0
1004995,0,31,0.0
1005022,0,31,0.0
1005047,0,31,0.0
1005074,0,31,0.0
1005100,0,31,0.0
1005125,0,31,0.0
1005152,0,30,0.0
1005177,0,31,0.0
1005204,0,30,0.0
1005230,0,31,0.0
1005255,0,31,0.0
1005282,0,31,0.0
1005307,0,31,0.0
1005333,0,31,0.0
1005360,0,31,0.0
1005385,0,31,0.0
1005412,0,31,0.0
1005437,0,31,0.0
1005464,0,30,0.0
1005490,0,30,0.0
1005515,0,31,0.0
1005542,0,31,0.0
1005568,0,31,0.0
1005593,0,31,0.0
1005620,0,31,0.0
1005645,0,31,0.0
1005672,0,30,0.0
1005698,0,31,0.0
1005723,0,30,0.0
1005750,0,30,0.0
1005775,0,30,0.0
1005802,0,31,0.0
1005828,0,31,0.0
1005853,0,31,0.0
1005880,0,30,0.0
1005905,0,30,0.0
1005931,0,30,0.0
1005958,0,31,0.0
1005983,0,31,0.0
1006010,0,30,0.0
1006035,0,31,0.0
1006061,0,31,0.0
1006088,0,30,0.0
1006113,0,31,0.0
1006140,0,31,0.0
1006166,0,31,0.0
1006191,0,30,0.0
1006218,0,31,0.0
1006243,0,30,0.0
1006270,0,31,0.0
1006296,0,30,0.0
1006321,0,30,0.0
1006348,0,31,0.0
1006373,0,30,0.0
1006400,0,31,0.0
1006426,0,30,0.0
1006451,0,31,0.0
1006478,0,31,0.0
1006503,0,30,0.0
1006529,0,31,0.0
1006556,0,30,0.0
1006581,0,31,0.0
1006608,0,30,0.0
1006633,0,31,0.0
1006659,0,31,0.0
1006686,0,30,0.0
1006711,0,30,0.0
1006738,0,31,0.0
1006764,0,30,0.0
1006789,0,31,0.0
1006816,0,30,0.0
1006841,0,30,0.0
1006868,0,30,0.0
1006894,0,30,0.0
1006919,0,31,0.0
1006946,0,31,0.0
1006971,0,30,0.0
1006997,0,31,0.0
1007024,0,31,0.0
1007049,0,30,0.0
1007076,0,31,0.0
1007101,0,31,0.0
1007128,0,31,0.0
1007154,0,30,0.0
1007179,0,30,0.0
1007206,0,31,0.0
1007232,0,30,0.0
1007257,0,31,0.0
1007284,0,31,0.0
1007309,0,31,0.0
1007336,0,30,0.0
1007362,0,30,0.0
1007387,0,30,0.0
1007414,0,30,0.0
1007439,0,30,0.0
1007466,0,31,0.0
1007492,0,30,0.0
1007517,0,31,0.0
1007544,0,30,0.0
1007569,0,31,0.0
1007595,0,30,0.0
1007622,0,30,0.0
1007647,0,31,0.0
1007674,0,31,0.0
1007699,0,31,0.0
1007725,0,31,0.0
1007752,0,31,0.0
1007777,0,31,0.0
1007804,0,30,0.0
1007830,0,30,0.0
1007855,0,30,0.0
1007882,0,31,0.0
1007907,0,30,0.0
1007934,0,30,0.0
1007960,0,30,0.0
1007985,0,30,0.0
1008012,0,30,0.0
1008037,0,30,0.0
1008064,0,30,0.0
1008090,0,31,0.0
1008115,0,30,0.0
1008142,0,30,0.0
1008167,0,30,0.0
1008193,0,30,0.0
1008220,0,30,0.0
1008245,0,31,0.0
1008272,0,30,0.0
1008297,0,31,0.0
1008323,0,30,0.0
1008350,0,30,0.0
1008375,0,30,0.0
1008402,0,30,0.0
1008428,0,30,0.0
1008453,0,30,0.0
1008480,0,30,0.0
1008505,0,30,0.0
1008532,0,30,0.0
1008558,0,30,0.0
1008583,0,30,0.0
1008610,0,31,0.0
1008635,0,31,0.0
1008661,0,31,0.0
1008688,0,31,0.0
1008713,0,31,0.0
1008740,0,31,0.0
1008765,0,30,0.0
1008792,0,30,0.0
1008818,0,31,0.0
1008843,0,30,0.0
1008870,0,31,0.0
1008896,0,30,0.0
1008921,0,30,0.0
1008948,0,31,0.0
1008973,0,30,0.0
1009000,0,31,0.0
1009026,0,30,0.0
1009051,0,30,0.0
1009078,0,30,0.0
1009103,0,30,0.0
1009130,0,31,0.0
1009156,0,30,0.0
1009181,0,30,0.0
1009208,0,31,0.0
1009233,0,31,0.0
1009259,0,30,0.0
1009286,0,30,0.0
1009311,0,31,0.0
1009338,0,31,0.0
1009363,0,31,0.0
1009389,0,30,0.0
1009416,0,31,0.0
1009441,0,31,0.0
1009468,0,31,0.0
1009494,0,31,0.0
1009519,0,30,0.0
1009546,0,30,0.0
1009571,0,31,0.0
1009598,0,31,0.0
1009624,0,30,0.0
1009649,0,31,0.0
1009676,0,31,0.0
1009701,0,31,0.0
1009728,0,30,0.0
1009754,0,31,0.0
1009779,0,30,0.0
1009806,0,31,0.0
1009831,0,30,0.0
1009857,0,30,0.0
1009884,0,31,0.0
1009909,0,30,0.0
1009936,0,30,0.0
1009961,0,30,0.0
1009987,0,31,0.0
1010014,0,30,0.0
1010039,0,31,0.0
1010066,0,30,0.0
1010092,0,30,0.0
1010117,0,30,0.0
1010144,0,30,0.0
1010169,0,30,0.0
1010196,0,31,0.0
1010222,0,30,0.0
1010247,0,31,0.0
1010274,0,31,0.0
1010299,0,30,0.0
1010325,0,30,0.0
1010352,0,30,0.0
1010377,0,31,0.0
1010404,0,30,0.0
1010429,0,30,0.0
1010456,0,31,0.0
1010482,0,30,0.0
1010507,0,30,0.0
1010534,0,30,0.0
1010560,0,30,0.0
1010585,0,31,0.0
1010612,0,30,0.0
1010637,0,31,0.0
1010664,0,30,0.0
1010690,0,30,0.0
1010715,0,31,0.0
1010742,0,31,0.0
1010767,0,31,0.0
1010794,0,30,0.0
1010820,0,30,0.0
1010845,0,31,0.0
1010872,0,30,0.0
1010897,0,31,0.0
1010923,0,30,0.0
1010950,0,30,0.0
1010975,0,30,0.0
1011002,0,30,0.0
1011027,0,30,0.0
1011053,0,31,0.0
1011080,0,30,0.0
1011105,0,30,0.0
1011132,0,30,0.0
1011158,0,31,0.0
1011183,0,31,0.0
1011210,0,30,0.0
1011235,0,31,0.0
